paramsetID,rlim,slim,deltaH,p00,p10,p01,p11,alph0,alphZ,alphH,beta0,betaH,cr,cs,qs,pdet,pfp,L,T,B,note
0,1000,1000,0.2,0.9,0.1,0.6,0.4,0.7,0.5,0.25,0,1.38629436,0.1,0.1,0.9,0.7,0,1,30,8,first set
1,1000,1000,0.2,0.9,0.1,0.6,0.4,0.7,0.5,0.25,0.9,2.2,0.1,0.1,0.9,0.7,0,1,30,8,first set
2,1000,1000,0.2,0.9,0.1,0.6,0.4,0.1,0.5,0.25,0.9,2.2,0.01,0.01,0.9,0.7,0,1,30,8,testing colonization rate. Might be too high
3,1000,1000,0.2,0.9,0.1,0.6,0.4,0.1,0.5,0.25,0.9,2.2,0.1,0.1,0.9,0.7,0,1,30,8,testing colonization rate. Might be too high
4,1000,1000,0.2,0.9,0.1,0.6,0.4,0.1,0.5,0.25,0.9,2.2,0.15,0.15,0.9,0.7,0,1,30,8,n=5 high cost high extinction rate scenario
5,1000,1000,0.2,0.9,0.1,0.6,0.4,0.7,0.5,0.25,0.9,2.2,0.06,0.06,0.9,0.7,0,1,30,8,n=5 setting 8 with low cost low extinction rate scenario
6,1000,1000,0.2,0.9,0.1,0.6,0.4,0.1,0.5,0.25,0.9,2.2,0.074,0.074,0.9,0.7,0,1,30,8,n=10 with high cost high extinction rate scenario. kR=0.2n
7,1000,1000,0.2,0.9,0.1,0.6,0.4,0.1,0.5,0.25,0.9,2.2,0.049,0.049,0.9,0.7,0,1,30,8,n=15 with high cost high extinction rate scenario. kR=0.2n
8,1000,1000,0.2,0.9,0.1,0.6,0.4,0.1,0.5,0.25,0.9,2.2,0.037,0.037,0.9,0.7,0,1,30,8,n=20 with high cost high extinction rate scenario. kR=0.2n
9,1000,1000,0.2,0.9,0.1,0.6,0.4,0.1,0.5,0.25,0.9,2.2,0.315,0.315,0.9,0.7,0,1,30,8,n=5 really high cost high extinction rate scenario
10,1000,1000,0.2,0.9,0.1,0.6,0.4,0.1,0.5,0.25,0.9,2.2,0.162,0.162,0.9,0.7,0,1,30,8,n=10 really high cost high extinction rate scenario
11,1000,1000,0.2,0.9,0.1,0.6,0.4,0.1,0.5,0.25,0.9,2.2,0.083,0.083,0.9,0.7,0,1,30,8,n=20 really high cost high extinction rate scenario
